Product Name,Price,Description
"Infusion fruitée jardin d'été (Citron, orange amère, cassis) BIO en vrac","33,70 € ht","Arômes naturels : Citron-orange sanguine Ingrédients : Pomme*, raisin (raisin, huile végétale)*, citronnelle*, coing*, verveine entière*, bâtons de cannelle*, écorces d'orange*, arôme naturel (citron, orange sanguine, orange), morceaux de pomme*, passiflore*,..."
Infusion fruitée La nectarine (Pêche-menthe) Bio en vrac,"31,10 € ht","Saveur : Pêche - Menthe poivrée Ingrédients : Pomme*, hibiscus*, citronnelle*, rooibos naturel*, menthe*, raisin (raisin, huile végétale)*, cynorrhodon*, arôme naturel (citron, pêche), souci*, pétales de rose*, pêche* (1%). *Issu..."
"Infusion fruitée mix oriental (Coriandre, fraise de bois) en vrac","30,05 € ht","Arômes naturels : Coriandre-fraise des bois Ingrédients : Pomme, bâtons de cannelle, écorces d'orange, betterave rouge, graine de coriandre (5%), arôme naturel, baie de goji, cardamome, fraise (3%), pétales de..."
Infusion fruitée petit bois (baies sauvages) en vrac,"29,30 € ht","Arômes naturels : Baies sauvages Ingrédients : Pomme*, feuilles de mûre*, hibiscus*, écorces d’orange*, morceaux de pomme*, arôme naturel de fraise, arôme naturel de canneberge, fraise*, baie de sureau*. *Issu..."
"Infusion fruitée (Fraise, Pêche, ananas,) en vrac","29,30 € ht","Saveur : Fraise - Pêche - Ananas Ingrédients : Pomme, citronnelle, ananas (ananas, sucre), Flamants roses en sucre (sucre, farine de riz, huiles et graisses végétales (colza), fécule de pomme..."
"Infusion fruitée duo délicieux (Pomme, caramel) BIO en vrac","29,30 € ht","Saveur : Pomme - caramel Ingrédients : Pomme (49%), raisin (raisin, huile végétale), datte (datte, farine de riz), cynorrhodon, betterave rouge, bâtons de cannelle, arôme naturel, pomme (4%), vanille. Mélange..."
"Infusion fruitée comme avant (mangue, passion, orange) BIO en vrac","33,70 € ht","Saveur : Mangue - fruit de la passion - orange Ingrédients : Raisin (raisin, huile végétale)*, hibiscus*, banane (banane, huile de noix de coco, sucre de canne, miel)*, arôme naturel..."
"Infusion fruitée pink tasty (fraise, crème) Bio en vrac","32,15 € ht","Arômes naturels : Fraise Ingrédients : Pomme*, hibiscus*, cynorrhodon*, arôme naturel (fraise), fraise* (2%), pétales de rose*, extrait de vanille*, vanille*. *Issu de l‘agriculture biologique. Dosage : 15 - 20..."
Tisane Esprit libre BIO en vrac,"33,70 € ht","Arôme naturel : Non aromatisé Ingrédients : Fenouil*, ortie*, fleurs de houblon*, mélisse*, gingembre (gingembre, sucre de canne brut)*, aronia*, verveine entière*, badiane*, fleurs d'immortelle*, pétales de rose*, Stevia*, fleurs..."
"Infusion fruitée Pyramides (coco, baies de goji) en vrac","29,30 € ht","Arômes naturels : Coco-baies de goji Ingrédients : Datte (datte, farine de riz), coco (21%), papaye, raisin (raisin, huile végétale), fève de cacao concassée, arôme naturel, fleurs de bleuet, baie..."
Tisanes ayurvédiques au calme Bio en vrac,"34,75 € ht","Arôme naturel : Non aromatisé Ingrédients : Bâtons de cannelle*, fenouil*, gingembre*, écorces d'orange*, cannelle Ceylan*, anis*, racine de réglisse*, fève de cacao concassée*, clou de girofle*, Tulsi*, dent-de-lion*, ananas*.*..."
Infusion fruitée big dream (citron vert)  BIO en vrac,"33,70 € ht","Infusion fruitée Citron vert Ingrédients : Pomme*, banane (banane, huile de noix de coco, sucre de canne, miel)*, écorces de citron*, coing*, citronnelle*, morceaux de pomme*, feuilles de mûre*, écorces..."
Infusion fruité Hollywood (menthe - réglisse) BIO en vrac,"30,55 € ht","Arômes naturels : Menthe-réglisse Ingrédients : Pomme*, hibiscus*, anis*, menthe*, cynorrhodon*, écorces d'orange*, morceaux de pomme*, baie de goji*, verveine entière*, fleurs de bleuet*, arôme naturel (anis). *Issu de l‘agriculture..."
"Infusion fruitée (Canneberge, pêche) BIO en vrac","33,70 € ht","Saveur : Canneberge - pêche Ingrédients : Pomme*, rooibos naturel*, hibiscus*, cynorrhodon*, arôme naturel (Canneberge, pêche), souci*, canneberge* (2%), pêche* (2%). *Issu de l'agriculture biologique Dosage : 15 - 20..."
Infusion fruitée My umbrella Bio en vrac,"27,20 € ht","Arômes naturels : non aromatisée Ingrédients : Pomme*, betterave rouge*, fenouil*, gingembre*, anis*, feuilles de bouleau*, ortie*, citronnelle*, écorces de citron*, racine de réglisse*, graine de coriandre*, Racine de bardane..."
