Product Name,Price,Description
FENUGREC graine poudre bio,"17,25 € ht",Ingrédients : FENUGREC graine poudre bio. Origine : France Désignation latine : Trigonella foenum-graecum L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
FENOUIL fruit poudre bio,"19,10 € ht",Ingrédients : FENOUIL fruit poudre bio. Origine : Egypte Désignation latine : Foeniculum vulgare Mill.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
EUPHRAISE OFFICINALE partie aérienne bio,"67,50 € ht",Ingrédients : EUPHRAISE OFFICINALE partie aérienne bio. Origine : Pologne Désignation latine : Euphrasia stricta D. Wolff ex.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
ESTRAGON feuille coupée bio,"58,95 € ht",Ingrédients : ESTRAGON feuille coupée bio. Origine : Portugal Désignation latine : Artemisia dracunculus L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture...
ESCHSCHOLZIA - PAVOT DE CALIFORNIE partie aérienne coupée BIO - Origine FRANCE,"34,40 € ht",Ingrédients : ESCHSCHOLZIA - PAVOT DE CALIFORNIE partie aérienne coupée bio. Origine : FRANCE Désignation latine : Eschscholzia californica Cham.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le...
EPINE VINETTE racine coupée bio,"31,20 € ht",Ingrédients : EPINE VINETTE racine coupée bio. ORIGINE : Croatie Désignation latine : Berberis vulgaris L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
ÉPILOBE partie aérienne coupée BIO - Origine FRANCE,"29,30 € ht",Ingrédients : ÉPILOBE en épi partie aérienne coupée bio. ORIGINE : FRANCE Désignation latine :  Epilobium angustifolium L Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le...
ÉCHINACÉE PURPUREA partie aérienne coupée BIO - Origine FRANCE,"21,00 € ht",Ingrédients : ÉCHINACÉE PURPUREA partie aérienne coupée bio. ORIGINE : FRANCE Désignation latine : Echinacea purpurea (L.) Moench Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
CYPRES cône concassé BIO - Origine FRANCE,"19,50 € ht",Ingrédients : CYPRES cône concassé bio. ORIGINE : FRANCE Désignation latine : Cupressus sempervirens L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
CYNORRHODON fruit coupé bio,"18,65 € ht",Ingrédients : CYNORRHODON fruit coupé bio. ORIGINE : Moldavie Désignation latine : Rosa canina L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
CUMIN NOIR NIGELLE graine entière bio,"21,95 € ht",Ingrédients : CUMIN NOIR NIGELLE graine entière bio. ORIGINE : Egypte Désignation latine : Nigella sativa L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
CUMIN graine poudre bio,"42,90 € ht",Ingrédients : CUMIN graine bio. ORIGINE : Turquie  Désignation latine : Cuminum cyminum L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture...
CUMIN graine entière bio,"35,15 € ht",Ingrédients : CUMIN graine bio ORIGINE : Turquie Désignation latine : Cuminum cyminum L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
COURGE graine entière bio,"30,20 € ht",Ingrédients : COURGE graine entière bio. ORIGINE : Pologne Désignation latine : Cucurbita pepo L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
CORIANDRE graine poudre BIO - Origine FRANCE,"18,00 € ht",Ingrédients : CORIANDRE graine bio. ORIGINE : FRANCE Désignation latine :Coriandrum sativum L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture UE...
CORIANDRE graine entière BIO - Origine FRANCE,"12,05 € ht",Ingrédients : CORIANDRE graine bio. ORIGINE : FRANCE Désignation latine : Coriandrum sativum L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture...
COQUELICOT pétale entier bio,"89,30 € ht",Ingrédients : COQUELICOT pétale entier bio. ORIGINE : Maroc Désignation latine : Papaver rhoeas L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
CONSOUDE racine coupée bio,"27,00 € ht",Ingrédients : CONSOUDE racine coupée bio. ORIGINE : Pologne Désignation latine : Symphytum officinale L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
CITRON zeste poudre bio,"33,00 € ht",Ingrédients : CITRON zeste bio. ORIGINE : Espagne Désignation latine : Citrus limon (L.) Burm. f. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
